Easting,Northing,Moisture,Yield
592454.875,4267868.000,10.8,6142
592455.500,4267868.000,10.6,5132
592456.188,4267868.000,10.5,5083
592456.813,4267868.000,10.7,5740
592457.500,4267868.000,10.7,4962
592458.188,4267868.000,10.7,4807
592458.188,4267868.000,10.5,5843
592458.813,4267868.000,10.5,5842
592459.500,4267868.000,10.7,5348
592460.188,4267868.000,10.7,4288
592460.813,4267868.000,10.7,4324
592461.500,4267868.000,10.5,4851
592461.500,4267868.000,10.4,4682
592462.188,4267868.000,10.5,4113
592462.813,4267868.000,10.6,4189
592463.500,4267868.000,10.5,4851
592464.125,4267868.000,10.3,4721
592464.813,4267868.000,10.1,5412
592464.813,4267868.000,10.5,3858
592465.500,4267868.000,10.5,4181
592466.125,4267868.000,10.5,5005
592466.813,4267868.000,10.4,4320
592467.500,4267868.000,10.3,3911
592467.500,4267868.000,10.5,5273
592468.125,4267868.000,10.5,5534
592468.813,4267868.000,10.6,5296
592469.500,4267868.000,10.6,4439
592470.125,4267868.000,10.5,4470
592470.813,4267868.000,10.4,5029
592470.813,4267868.000,10.7,3854
592471.438,4267868.000,10.7,3801
592472.125,4267868.000,10.7,4776
592472.813,4267868.000,10.7,4276
592473.438,4267868.000,10.4,5400
592474.125,4267868.000,10.6,5246
592474.125,4267868.000,10.6,5886
592474.813,4267868.000,10.7,6097
592475.438,4267868.000,10.4,5140
592476.125,4267868.000,10.6,4235
592476.813,4267868.000,10.8,5688
592477.438,4267868.000,10.7,4882
592477.438,4267868.000,10.8,5972
592478.125,4267868.000,10.4,5225
592478.750,4267868.000,10.4,4761
592479.438,4267868.000,10.6,4434
592480.125,4267868.000,10.6,4445
592480.125,4267868.000,10.8,4956
592480.750,4267868.000,10.7,4403
592481.438,4267868.000,10.5,4299
592482.125,4267868.000,10.7,5625
592482.750,4267868.000,10.8,4221
592483.438,4267868.000,10.8,4227
592483.438,4267868.000,10.7,5419
592484.125,4267868.000,10.6,5596
592484.750,4267868.000,10.9,4894
592485.438,4267868.000,10.8,5308
592486.063,4267868.000,10.9,5000
592486.750,4267868.000,10.9,4611
592486.750,4267868.000,10.7,5441
592487.438,4267868.000,10.9,4629
592488.063,4267868.000,10.9,5510
592488.750,4267868.000,10.8,5043
592489.438,4267868.000,10.9,4145
592490.063,4267868.000,10.7,4828
592490.750,4267868.000,10.7,5619
592490.750,4267868.000,10.9,4751
592491.438,4267868.000,10.9,6583
592492.063,4267868.000,10.9,5388
592492.750,4267868.000,10.7,5445
592493.375,4267868.000,10.6,6021
592494.063,4267868.000,10.8,3791
592494.063,4267868.000,10.9,6717
592494.750,4267868.000,10.8,5940
592495.375,4267868.000,10.7,4715
592496.063,4267868.000,10.6,5930
592496.750,4267868.000,10.7,5413
592496.750,4267868.000,10.9,5338
592497.375,4267868.000,10.9,4985
592498.063,4267868.500,10.8,4686
592498.750,4267868.500,10.5,5081
