Easting,Northing,Yield,Moisture,Time
592111.0625,4267640.5,3018,9.4,903530458
592111,4267643,3016,9.2,903530460
592111,4267645,2947,10.5,903530462
592111,4267647,2965,10.6,903530464
592110.9375,4267649,2656,9.7,903530466
592110.9375,4267651.5,2858,10.2,903530468
592110.9375,4267653.5,2824,10.2,903530470
592110.875,4267655.5,2850,10.6,903530472
592110.875,4267657.5,3044,10.8,903530474
592110.8125,4267659.5,3138,11.2,903530476
592110.8125,4267662,3095,8.6,903530478
592110.8125,4267664,2868,8.9,903530480
592110.75,4267666,2954,9.2,903530482
592110.75,4267668,3115,9.1,903530484
592110.6875,4267670.5,3235,8.7,903530486
592110.6875,4267672,3133,7.9,903530488
592110.6875,4267674,3113,8.1,903530490
592110.625,4267676.5,3199,8.3,903530492
592110.625,4267678.5,3266,9,903530494
592110.625,4267680.5,3000,9.3,903530496
