Longitude,Latitude,ECto30,ECto100,Easting,Northing
-121.934201,38.553898,41.9,63.7,592867.063,4267812.5
-121.934201,38.553878,42,133.9,592867.063,4267810.5
-121.934201,38.553858,42,143.3,592867.125,4267808
-121.934201,38.553845,43.1,137.4,592867.125,4267806.5
-121.934202,38.553831,42.2,129.3,592867.125,4267805
-121.934202,38.553811,41.3,207.5,592867.188,4267802.5
-121.934202,38.55379,41.1,212.6,592867.188,4267800.5
-121.934203,38.553777,40.7,238.1,592867.188,4267799
-121.934203,38.553765,39.3,-26,592867.25,4267797.5
-121.934204,38.553747,36,205.2,592867.25,4267795.5
-121.934205,38.553729,34.2,168.5,592867.25,4267794
-121.934206,38.553718,34.6,256.5,592867.25,4267792.5
-121.934206,38.553708,37.1,-26,592867.313,4267791
-121.934206,38.553695,37.9,-18,592867.313,4267790
-121.934206,38.553687,38.5,-18,592867.313,4267789
-121.934207,38.55368,39,-18,592867.313,4267788.5
-121.934207,38.553662,38.1,-26,592867.375,4267786
-121.934207,38.553645,37.3,261.4,592867.375,4267784.5
-121.934207,38.553629,35.8,-26,592867.375,4267783
-121.934208,38.553616,35.7,-18,592866.75,4267781
-121.934208,38.553606,35.8,-18,592866.75,4267780
-121.934208,38.553593,34.9,-18,592866.75,4267778.5
-121.934208,38.553577,35,-18,592866.813,4267777
-121.934208,38.553564,35.9,-18,592866.813,4267775
-121.934208,38.553553,36.8,-18,592866.813,4267774.5
-121.934208,38.553538,36.9,-18,592866.875,4267772.5
-121.934208,38.553521,40,-26,592866.875,4267770.5
-121.934209,38.553506,40.9,297.2,592866.875,4267769
-121.934209,38.553492,35.7,-26,592866.875,4267767.5
-121.93421,38.553475,35.1,-26,592866.938,4267765.5
-121.934211,38.553453,35.1,4.6,592866.938,4267763
-121.934213,38.553434,35.4,2.9,592867,4267761
-121.934213,38.553419,34.9,-29,592867,4267759
-121.934214,38.553397,31.7,-29,592867,4267757
-121.934215,38.553377,30.9,10.3,592867.063,4267754.5
-121.934215,38.553363,31.4,1.6,592867.063,4267753
-121.934215,38.553351,33.5,4.6,592867.063,4267752
-121.934215,38.553334,33.3,-13,592867.125,4267749.5
-121.934217,38.552956,35.8,51,592866.938,4267708
-121.934216,38.55295,35,49.1,592866.938,4267707.5
-121.934215,38.552942,34.2,49.3,592867.625,4267706
-121.934214,38.552929,35.3,13.8,592867.625,4267705
-121.934212,38.55292,35.2,50.7,592867.625,4267704
-121.934211,38.552912,35.8,157.4,592867.625,4267703
-121.93421,38.552904,38.9,183.4,592867.688,4267702
-121.93421,38.552894,40.2,219.3,592867.688,4267701
-121.934209,38.55288,41,25.7,592867.688,4267699.5
-121.934209,38.552864,42.8,162.2,592867.688,4267697.5
-121.934209,38.55285,43.2,42.5,592867.75,4267696
-121.93421,38.55284,42.6,8.3,592867.75,4267695
-121.934211,38.552824,42.6,114.6,592867.75,4267693
-121.934211,38.552808,41.9,155.1,592867.813,4267691.5
-121.934211,38.552797,40.6,5.8,592867.813,4267690
-121.934211,38.552786,42.4,5.3,592867.813,4267689
-121.934211,38.55277,42.4,4.3,592867.813,4267687
-121.93421,38.552754,41.4,5,592867.875,4267685.5
-121.93421,38.552744,41.5,7.6,592867.875,4267684.5
-121.93421,38.552732,43.9,54.4,592867.875,4267683
-121.934209,38.552713,44.5,56.6,592867.938,4267681
-121.934209,38.5527,39.9,21.8,592867.938,4267679.5
-121.934209,38.55269,37.2,22.2,592867.938,4267678
-121.934209,38.552681,21.1,-25,592867.938,4267677.5
-121.934209,38.552668,30.6,-25,592867.938,4267676
-121.934209,38.55265,30.5,-25,592868,4267674
-121.93421,38.552638,40.8,-25,592868,4267672.5
-121.93421,38.55263,41.3,-27,592868,4267672
-121.934211,38.552621,42.6,-26,592868,4267670.5
-121.934211,38.552607,43.8,46.6,592868.063,4267669.5
-121.934211,38.552587,44.4,45,592868.063,4267667
-121.934212,38.552574,44.3,40.4,592868.063,4267665.5
-121.934212,38.552564,43.9,21.5,592868.125,4267664
-121.934211,38.552554,44,45.1,592868.125,4267663.5
-121.934211,38.552542,43.6,38.8,592868.125,4267662
-121.934211,38.552524,45,12.7,592868.125,4267660
-121.934212,38.552513,44.4,13.7,592868.188,4267658.5
-121.934211,38.552459,17.7,14.7,592868.25,4267653
-121.934211,38.552392,45,-25,592868.313,4267645
-121.934211,38.55238,46.2,36.2,592868.313,4267644
-121.93421,38.552361,46.7,56.8,592868.375,4267642
-121.934208,38.552342,44.3,57.1,592868.375,4267639.5
-121.934207,38.552329,43.8,55.7,592869.063,4267638.5
-121.934207,38.552317,43.9,56.1,592869.063,4267637
-121.934207,38.5523,43.7,56.1,592869.125,4267635
-121.934207,38.552283,45.7,59.6,592869.125,4267633.5
-121.934208,38.552273,47,60.1,592868.5,4267632
-121.934208,38.552262,46.3,58,592868.5,4267631
-121.934208,38.552247,44.6,56.5,592868.5,4267629
-121.934208,38.552233,46.1,62.2,592868.5,4267628
-121.934209,38.552212,45,62.2,592868.563,4267625.5
-121.93421,38.552184,43.2,61.2,592868.563,4267622.5
-121.93421,38.552165,41.8,46.9,592868.625,4267620
-121.934211,38.552155,40.7,27,592868.625,4267619
-121.934211,38.552146,42.1,11.5,592868.625,4267618
