Easting,Northing,Yield
592244.375,4270728.5,1114
592243,4270728.5,1286
592242.375,4270728,1114
592241.0625,4270728,1048
592239.6875,4270728.5,1048
592239.0625,4270728,1214
592237.6875,4270728,1164
592236.375,4270728,1502
592235.6875,4270728,937
592234.375,4270728,987
592233.0625,4270728,1003
592232.375,4270728,1325
592231.0625,4270728,1181
592229.75,4270728,1281
592228.4375,4270728,1064
592227.75,4270728,1076
592226.4375,4270728,1486
592225.0625,4270728,1885
592223.75,4270728,1469
592222.4375,4270728,1453
592221.75,4270728.5,1209
592220.4375,4270728,687
592219.75,4270728,1076
592218.4375,4270728,1059
592217.75,4270728,1486
592217.125,4270728,1026
592216.4375,4270727.5,1026
592215.125,4270728,1281
592214.4375,4270728,1597
592213.125,4270728,1170
592212.4375,4270728,832
592211.8125,4270728,660
592211.125,4270728,815
592209.8125,4270728,1319
592209.125,4270728,1258
592207.8125,4270728,1137
592207.125,4270728,1314
592206.5,4270728,1735
592205.125,4270728,1209
592204.5,4270728,1092
592203.125,4270728,1192
592202.5,4270728,1480
592201.1875,4270728,1708
592200.5,4270728,1242
592199.1875,4270728,1181
592197.8125,4270728,1209
592196.5,4270728,1297
592195.8125,4270728,1109
592194.5,4270728,1131
592193.1875,4270728,1098
592191.875,4270728,1530
592190.5,4270728,1242
592189.875,4270728,1087
592188.5,4270728,1253
592187.1875,4270728,915
592186.5625,4270728,942
592185.1875,4270728,1236
592183.875,4270728,1181
592182.5625,4270728,1331
592181.25,4270728,1602
592179.875,4270728,1380
592178.5625,4270728,959
592177.25,4270728,1225
592175.875,4270728,1475
592175.25,4270728,1464
592173.875,4270728,1569
592172.5625,4270728,1275
592171.25,4270728,1053
592169.9375,4270728,1209
592168.5625,4270728,1220
592167.25,4270728,970
592165.9375,4270728,1286
592165.25,4270728,1464
592164.625,4270728,1198
592163.25,4270728,1164
592162.625,4270728,1447
592161.9375,4270728,1430
592160.625,4270728,1270
592159.9375,4270728.5,832
592159.25,4270728.5,870
592157.9375,4270728.5,931
592157.3125,4270729,1137
592155.9375,4270729,1048
592155.3125,4270729,1785
